orfname,Gene Symbol,Description,log2_rep1,log2_rep2,log2_rep3,log2_rep4,log2_rep5,log2_rep6,# peptides,Avg log2 ratio,SD,p1,p2,# SILAC peptides,log2_SILAC ratio
YNL137C,NAM9,Mitochondrial ribosomal component of the small subunit,-0.60,-0.13,-0.73,-0.25,-0.67,-0.37,6,-0.46,0.245,0.006,0.003,13,-0.56
YMR011W,HXT2,"High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose",-0.64,-0.56,-0.24,-0.29,-0.81,-0.25,5,-0.46,0.239,0.009,0.003,2,-0.90
YGR088W,CTT1,"Cytosolic catalase T, has a role in protection from oxidative damage by hydrogen peroxide",-0.16,-0.57,-0.43,-0.66,-0.37,-0.77,33,-0.49,0.220,0.009,0.000,13,-0.19
YER126C,NSA2,"Protein constituent of 66S pre-ribosomal particles, contributes to processing of the 27S pre-rRNA",-0.73,-0.30,-0.23,-0.44,-0.69,-0.61,4,-0.50,0.210,0.004,0.000,5,-0.44
YBL085W,BOI1,"Protein implicated in polar growth, functionally redundant with Boi2p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain",-0.47,-0.83,-0.13,-0.80,-0.45,-0.59,9,-0.54,0.260,0.005,0.000,5,-0.58
YEL022W,GEA2,"Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs), involved in vesicular transport between the Golgi and ER, Golgi organization, and actin cytoskeleton organization; similar to but not functionally redundant with Gea1p",-0.13,-0.14,-0.19,-1.10,-0.70,-1.06,12,-0.55,0.461,0.048,0.001,7,0.03
YKL164C,PIR1,"O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle",-0.43,-0.33,-0.46,-0.65,-0.84,-0.65,8,-0.56,0.189,0.002,0.000,5,-0.91
YNL075W,IMP4,"Component of the SSU processome, which is required for pre-18S rRNA processing; interacts with Mpp10p; member of a superfamily of proteins that contain a sigma(70)-like motif and associate with RNAs",-0.33,-0.16,-0.51,-1.25,-0.75,-0.43,7,-0.57,0.386,0.013,0.000,4,-0.17
YBL005W,PDR3,"Transcriptional activator of the pleiotropic drug resistance network, regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting sites known as PDREs (PDR responsive elements)",-0.67,-0.90,-0.27,-0.73,-0.38,-0.66,2,-0.60,0.233,0.023,0.000,,
YKL184W,SPE1,"Ornithine decarboxylase, catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines",-0.72,-0.22,-0.59,-0.71,-1.05,-0.98,4,-0.71,0.296,0.001,0.000,6,-0.94
YCR057C,PWP2,"Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis",-2.00,-0.27,-0.43,-0.71,-0.18,-0.82,3,-0.74,0.668,0.033,0.001,4,-0.06
YDR508C,GNP1,"High-affinity glutamine permease, also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids",-0.66,-0.82,-0.79,-0.95,-1.02,-1.31,7,-0.93,0.225,0.001,0.000,5,-0.69
YHR094C,HXT1,"Low-affinity glucose transporter of the major facilitator superfamily, expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting",-0.90,-0.73,-0.36,-1.36,-1.09,-1.28,10,-0.96,0.374,0.002,0.000,4,-0.28
YKL096W,CWP1,"Cell wall mannoprotein, linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; involved in cell wall organization",-1.37,-1.06,-1.34,-1.13,-1.09,-1.27,23,-1.21,0.136,0.000,0.000,17,-1.25
YLR110C,CCW12,"Cell wall mannoprotein, mutants are defective in mating and agglutination, expression is downregulated by alpha-factor",-2.13,-1.69,-1.42,-1.18,-0.65,-0.84,5,-1.32,0.550,0.011,0.000,5,-0.85
YGR191W,HIP1,"High-affinity histidine permease, also involved in the transport of manganese ions",-1.96,-0.90,-1.02,-1.15,-1.92,-1.45,2,-1.40,0.457,0.009,0.000,,
YLR299W,ECM38,"Gamma-glutamyltranspeptidase, major glutathione-degrading enzyme; involved in detoxification of electrophilic xenobiotics; expression induced mainly by nitrogen starvation",0.15,1.14,0.61,0.86,2.92,0.03,5,0.95,1.051,0.139,0.000,12,0.76
YIR030C,DCG1,"Protein of unknown function, expression is sensitive to nitrogen catabolite repression and regulated by Dal80p; contains transmembrane domain",0.55,1.37,0.59,0.88,1.06,-0.25,3,0.70,0.557,0.072,0.001,7,0.64
YNL076W,MKS1,Pleiotropic negative transcriptional regulator involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling,0.88,-0.21,0.12,1.37,1.73,0.28,3,0.69,0.762,0.121,0.001,6,0.15
YJL217W,REE1,"Cytoplasmic protein of unknown function; expression induced by calcium shortage and via the copper sensing transciption factor Mac1p during conditons of copper deficiency; mRNA is cell cycle regulated, peaking in G1 phase",0.49,-0.30,0.36,1.35,1.92,0.15,5,0.66,0.819,0.139,0.002,11,0.41
YKL103C,LAP4,"Vacuolar aminopeptidase, often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway",0.70,0.02,0.42,0.29,1.64,0.64,16,0.62,0.557,0.072,0.000,10,0.49
YHR127W,YHR127W,Protein of unknown function; localizes to the nucleus,0.82,0.68,-0.54,0.41,1.28,0.82,2,0.58,0.616,0.101,0.005,,
YDR088C,SLU7,"RNA splicing factor, required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain",0.46,0.71,-0.49,1.12,0.05,1.61,3,0.58,0.750,0.306,0.000,2,0.02
YPL186C,UIP4,"Protein that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope",0.47,1.15,0.90,0.31,0.28,0.25,3,0.56,0.374,0.127,0.000,10,0.32
YDL130W-A,STF1,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein,0.93,-0.04,0.86,0.69,1.40,-0.49,5,0.56,0.696,0.192,0.000,,
YHR082C,KSP1,Nonessential putative serine/threonine protein kinase of unknown cellular role; overproduction causes allele-specific suppression of the prp20-10 mutation,0.28,0.80,0.57,0.33,0.72,0.43,4,0.52,0.210,0.082,0.001,4,0.39
YNL186W,UBP10,Ubiquitin-specific protease that deubiquitinates ubiquitin-protein moieties; may regulate silencing by acting on Sir4p; involved in posttranscriptionally regulating Gap1p and possibly other transporters; primarily located in the nucleus,0.12,1.78,0.80,-0.05,0.32,-0.02,4,0.49,0.703,0.486,0.001,10,-0.24
YPR098C,YPR098C,"Protein of unknown function, localized to the mitochondrial outer membrane",0.46,0.04,0.31,-0.31,1.74,0.65,7,0.48,0.702,0.209,0.001,4,0.15
YJR060W,CBF1,"Helix-loop-helix protein that binds the motif CACRTG, which is present at several sites including MET gene promoters and centromere DNA element I (CDEI); required for nucleosome positioning at this motif; targets Isw1p to DNA",0.11,-0.30,0.23,0.86,1.80,0.16,11,0.48,0.748,0.269,0.001,8,0.11
YPL119C,DBP1,Putative ATP-dependent RNA helicase of the DEAD-box protein family; mutants show reduced stability of the 40S ribosomal subunit scanning through 5' untranslated regions of mRNAs,0.03,0.45,0.95,0.43,0.67,0.32,3,0.48,0.311,0.134,0.017,,
YMR041C,ARA2,"NAD-dependent arabinose dehydrogenase, involved in biosynthesis of erythroascorbic acid; similar to plant L-galactose dehydrogenase",0.77,0.41,-0.06,1.20,-0.13,0.62,5,0.47,0.509,0.225,0.019,6,0.29
YHL024W,RIM4,Putative RNA-binding protein required for the expression of early and middle sporulation genes,0.58,0.35,0.68,0.17,0.71,0.24,3,0.45,0.232,0.091,0.002,,
YBR085C-A,YBR085C-A,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and to the nucleus,0.14,0.91,0.68,0.08,0.51,0.35,6,0.45,0.320,0.189,0.004,8,0.49
YMR216C,SKY1,SR protein kinase (SRPK) involved in regulating proteins involved in mRNA metabolism and cation homeostasis; similar to human SRPK1,-0.01,0.29,-0.22,0.92,0.56,1.12,9,0.44,0.520,0.264,0.004,6,0.08
YIL123W,SIM1,"Protein of the SUN family (Sim1p, Uth1p, Nca3p, Sun4p) that may participate in DNA replication, promoter contains SCB regulation box at -300 bp indicating that expression may be cell cycle-regulated",-0.24,-0.68,-0.25,0.09,2.92,0.80,9,0.44,1.310,0.717,0.026,8,0.24
YNL037C,IDH1,"Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase, which catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle",0.38,1.47,0.42,0.08,0.08,0.17,22,0.43,0.531,0.325,0.000,8,0.31
YMR214W,SCJ1,"One of several homologs of bacterial chaperone DnaJ, located in the ER lumen where it cooperates with Kar2p to mediate maturation of proteins",0.34,0.32,0.37,-0.09,0.79,0.75,5,0.41,0.326,0.121,0.007,6,0.03
YHR139C,SPS100,Protein required for spore wall maturation; expressed during sporulation; may be a component of the spore wall,0.36,0.29,0.39,0.40,0.60,0.36,3,0.40,0.105,0.109,0.038,2,0.54
YGR032W,GSC2,"Catalytic subunit of 1,3-beta-glucan synthase, involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; has similarity to an alternate catalytic subunit, Fks1p (Gsc1p)",0.74,0.46,-0.11,0.57,0.14,0.60,4,0.40,0.318,0.069,0.038,6,0.57
YGR201C,YGR201C,Putative protein of unknown function,0.48,0.59,-0.05,0.31,0.30,0.76,2,0.40,0.281,0.149,0.039,,
YOR290C,SNF2,Catalytic subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; contains DNA-stimulated ATPase activity; functions interdependently in transcriptional activation with Snf5p and Snf6p,0.80,0.54,0.81,0.23,0.25,-0.29,7,0.39,0.418,0.151,0.004,6,-0.24
YPR104C,FHL1,Transcriptional activator with similarity to DNA-binding domain of Drosophila forkhead but unable to bind DNA in vitro; required for rRNA processing; isolated as a suppressor of splicing factor prp4,-0.51,-0.36,0.16,0.40,2.35,0.30,6,0.39,1.027,0.600,0.042,7,-0.18
YLR362W,STE11,"Signal transducing MEK kinase involved in pheromone response and pseudohyphal/invasive growth pathways where it phosphorylates Ste7p, and the high osmolarity response pathway, via phosphorylation of Pbs2p; regulated by Ste20p and Ste50p",0.18,0.07,0.16,0.19,1.54,0.18,6,0.39,0.568,0.306,0.011,6,0.08
YGL174W,BUD13,"Subunit of the RES complex, which is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern",-0.06,1.52,-0.25,0.59,0.41,0.09,5,0.38,0.635,0.284,0.008,,
YKL032C,IXR1,"Protein that binds DNA containing intrastrand cross-links formed by cisplatin, contains two HMG (high mobility group box) domains, which confer the ability to bend cisplatin-modified DNA; mediates aerobic transcriptional repression of COX5b",1.31,0.53,1.02,-0.29,0.02,-0.35,3,0.37,0.690,0.433,0.001,2,-0.22
YNL115C,YNL115C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YNL115C is not an essential gene,0.58,1.26,-0.08,0.25,-0.16,0.36,3,0.37,0.516,0.238,0.011,,
YBR241C,YBR241C,"Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene",0.05,0.04,0.45,0.49,0.13,1.01,2,0.36,0.373,0.284,0.016,,
YGR238C,KEL2,"Protein that functions in a complex with Kel1p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p; localizes to regions of polarized growth; potential Cdc28p substrate",-0.20,0.07,0.28,0.21,0.40,1.41,3,0.36,0.550,0.555,0.054,6,0.08
YLR084C,RAX2,N-glycosylated protein involved in the maintenance of bud site selection during bipolar budding; localization requires Rax1p,0.26,0.01,0.13,0.83,0.17,0.76,2,0.36,0.346,0.151,0.056,2,0.02
YDR031W,MIC14,Mitochondrial intermembrane space cysteine motif protein of 14 kDa,0.50,0.31,0.47,0.13,0.92,-0.18,3,0.36,0.372,0.243,0.013,8,0.14
YKL105C,YKL105C,Putative protein of unknown function,-0.07,0.61,0.33,0.58,0.27,0.40,4,0.35,0.248,0.087,0.013,4,0.00
YKL052C,ASK1,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases",0.03,1.23,0.25,-0.11,0.98,-0.25,2,0.35,0.609,0.471,0.059,3,-0.02
YPL096W,PNG1,"Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation, localizes to the cytoplasm and nucleus, interacts with the DNA repair protein Rad23p",0.22,0.34,-0.31,0.32,0.80,0.75,3,0.35,0.403,0.225,0.059,8,0.11
YNL278W,CAF120,"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation",0.38,0.00,0.87,0.36,0.16,0.30,3,0.34,0.293,0.152,0.016,4,0.23
YGR286C,BIO2,"Biotin synthase, catalyzes the conversion of dethiobiotin to biotin, which is the last step of the biotin biosynthesis pathway; complements E. coli bioB mutant",0.34,0.32,-0.07,0.72,0.69,0.04,3,0.34,0.322,0.164,0.066,,
YGL018C,JAC1,"Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix",0.11,0.57,0.36,0.69,0.36,-0.06,5,0.34,0.278,0.153,0.067,4,0.07
YOR132W,VPS17,Subunit of the membrane-associated retromer complex essential for endosome-to-Golgi retrograde protein transport; peripheral membrane protein that assembles onto the membrane with Vps5p to promote vesicle formation,-0.16,0.08,-0.31,0.73,0.74,0.85,7,0.32,0.511,0.317,0.004,,
YNL129W,NRK1,"Nicotinamide riboside kinase, catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis",0.50,0.72,-0.01,0.33,-0.33,0.71,5,0.32,0.419,0.250,0.028,9,0.24
YOL069W,NUF2,"Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering",-0.04,-0.07,0.13,0.58,-0.01,1.32,5,0.32,0.546,0.345,0.016,,
YDR032C,PST2,"Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.26,-0.17,-0.09,0.13,0.91,0.84,7,0.31,0.461,0.231,0.025,14,0.25
YIL039W,TED1,Conserved phosphoesterase domain-containing protein that acts together with Emp24p/Erv25p in cargo exit from the ER; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO),0.18,-0.07,0.62,0.46,0.35,0.34,7,0.31,0.237,0.072,0.018,4,0.01
YOR259C,RPT4,One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for spindle pole body duplication; localized mainly to the nucleus throughout the cell cycle,-0.02,0.51,0.16,0.33,0.22,0.64,5,0.31,0.241,0.266,0.027,3,0.08
YJR008W,YJR008W,Putative protein of unknown function; expression repressed by inosine and choline in an Opi1p-dependent manner; expression induced by mild heat-stress on a non-fermentable carbon source.,0.19,0.40,0.57,0.20,-0.37,0.84,6,0.31,0.412,0.292,0.020,2,0.39
YGR250C,YGR250C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,0.00,0.01,-0.03,0.42,0.90,0.46,12,0.30,0.368,0.175,0.006,9,0.24
YLR405W,DUS4,"Dihydrouridine synthase, member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus3p",0.37,0.10,0.27,0.36,0.01,0.65,3,0.29,0.227,0.160,0.034,,
YLR001C,YLR001C,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR001C is not an essential gene",0.19,1.35,-0.63,0.19,-0.30,0.96,3,0.29,0.745,0.535,0.043,,
YLR393W,ATP10,"Mitochondrial inner membrane protein required for assembly of the F0 sector of mitochondrial F1F0 ATP synthase, interacts genetically with ATP6",0.30,0.72,0.28,0.18,0.50,-0.25,3,0.29,0.324,0.172,0.101,2,0.04
YJR133W,XPT1,"Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine",0.52,0.40,0.50,0.09,0.32,-0.11,9,0.29,0.250,0.255,0.027,,
YHR001W,OSH7,"Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability",0.09,0.43,-0.73,0.79,1.12,-0.01,4,0.28,0.653,0.806,0.030,3,0.11
YBR086C,IST2,"Plasma membrane protein that may be involved in osmotolerance, localizes to the mother cell in small-budded cells and to the bud in medium- and large-budded cells; mRNA is transported to the bud tip by an actomyosin-driven process",0.04,1.62,0.15,0.04,-0.07,-0.11,58,0.28,0.665,0.654,0.011,41,0.02
